word,syllables,emoji,audioKey
Mama,ma-ma,👩,mama
Tata,ta-ta,👨,tata
Baba,ba-ba,👵,baba
Dede,de-de,👴,dede
Pero,pe-ro,✏️,pero
Voda,vo-da,💧,voda
Dúha,dú-ha,🌈,duha
Oko,o-ko,👁️,oko
Noha,no-ha,🦵,noha
Ruka,ru-ka,🤚,ruka
Kako,ka-ko,💩,kako
Vajko,vaj-ko,🥚,vajko
Ryba,ry-ba,🐟,ryba
Auto,au-to,🚗,auto
Koza,ko-za,🐐,koza
Sova,so-va,🦉,sova
Žaba,ža-ba,🐸,zaba
Dino,di-no,🦕,dino
Kura,ku-ra,🐔,kura
Maco,ma-co,🧸,maco
Zebra,ze-bra,🦓,zebra
Tiger,ti-ger,🐯,tiger
Krava,kra-va,🐄,krava
Kačica,ka-či-ca,🦆,kacica
Žirafa,ži-ra-fa,🦒,zirafa
Jahoda,ja-ho-da,🍓,jahoda
